speaker_i,speaker_j,cosine_sim
1743,1743,1.0000001
1743,201,0.84301394
1743,229,0.8848124
1743,233,0.7901764
1743,254,0.79744387
1743,27,0.7995837
1743,446,0.7246274
1743,911,0.77274054
201,1743,0.84301394
201,201,1.0000001
201,229,0.8006943
201,233,0.6945571
201,254,0.767393
201,27,0.7728103
201,446,0.85553926
201,911,0.89299715
229,1743,0.8848124
229,201,0.8006943
229,229,0.99999994
229,233,0.83278453
229,254,0.79591906
229,27,0.8477517
229,446,0.7745056
229,911,0.7493315
233,1743,0.7901764
233,201,0.6945571
233,229,0.83278453
233,233,1.0
233,254,0.6606435
233,27,0.7824999
233,446,0.76695657
233,911,0.6999926
254,1743,0.79744387
254,201,0.767393
254,229,0.79591906
254,233,0.6606435
254,254,1.0
254,27,0.8110789
254,446,0.68103826
254,911,0.736492
27,1743,0.7995837
27,201,0.7728103
27,229,0.8477517
27,233,0.7824999
27,254,0.8110789
27,27,1.0
27,446,0.8245874
27,911,0.844813
446,1743,0.7246274
446,201,0.85553926
446,229,0.7745056
446,233,0.76695657
446,254,0.68103826
446,27,0.8245874
446,446,1.0
446,911,0.9174365
911,1743,0.77274054
911,201,0.89299715
911,229,0.7493315
911,233,0.6999926
911,254,0.736492
911,27,0.844813
911,446,0.9174365
911,911,1.0
